NEG
lambat
terhambat
sulit
kesulitan
kurang
bingung
salah
gabisa
sulit
kesalahan
bosan
error
gangguan
dipersulit
hambatan
susah
kesusahan
pusing
keraguan
kelamaan
buruk
terbebani
rugi
terganggu
ganggu
trouble
menyulitkan
stupid
forced
pelit
bermasalah
bego
anjlok
beban
gaguna
mengecewakan
kekurangan
ambigu
bentrok
ruginya
belum
 tidak
